gene	group_label
ABCA1	ABCA1
ABCB7	random
ABCG1	ABCG1
ABHD12	random
ACTA1	HK
AKAP9	random
ALCAM	ALCAM
ALPK1	ALPK1
ANKHD1-EIF4EBP3	random
ANKRD12	HK
ANKRD28	HK
APBA1	HK
APPBP2	HK
ARL4C	ARL4C
ASCC3	random
ASTL	HK
ATG7	ATG7
ATL2	HK
ATRN	random
ATXN1	ATXN1
BAZ1B	BAZ1B
BCAS3	BCAS3
BMS1	random
BPTF	random
C12orf57	random
C19orf84	HK
C21orf91-OT1	HK
CALM1	random
CALR	CALR
CAND1	HK
CASK	HK
CBR4	random
CCAR1	CCAR1
CCDC66	HK
CCL4L2	CCL4L2
CCNT2-AS1	HK
CCRL2	HK
CD300LD	HK
CDC123	random
CDC7	HK
CDK13	CDK13
CDK14	HK
CDK17	HK
CDK8	random
CEP350	HK
CNN1	HK
CNOT4	random
COMMD1	COMMD1
CT70	HK
CTCF	random
CUL2	random
CUL5	random
CXXC5	random
DDX24	DDX24
DDX6	DDX6
DENND4A	DENND4A
DEPDC4	HK
DHX9	random
DIPK1A	HK
DIS3L2	random
DMWD	HK
DNAJA3	HK
DNASE2	random
DNM1L	DNM1L
DTNBP1	HK
DUSP6	DUSP6
EFR3A	random
EIF2AK3	random
EIF4A1	random
EIF4A3	random
EPC1	EPC1
ETV6	random
EXOC4	HK
EZR	EZR
FAM107B	FAM107B
FAM13A	HK
FBXO42	random
FCER1A	HK
FCHSD2	FCHSD2
FGD6	FGD6
FMNL1-DT	HK
FOXJ3	HK
FOXQ1	HK
FRMD4B	HK
FUBP1	random
FUT10	HK
GALNT14	HK
GBF1	random
GCNT2	HK
GCOM1	HK
GLG1	GLG1
GNG2	GNG2
GPBP1	random
GPRIN3	HK
GRAMD2B	HK
HEMK1	random
HERC4	random
HIVEP1	random
HLA-L	HK
HMGN5	HK
HNRNPH1	random
HS3ST1	HK
HSPA8	HSPA8
HUWE1	random
ICE2	HK
ICOSLG	ICOSLG
IFIH1	HK
IFIT1	HK
IL6ST	random
ILKAP	random
INSIG1	HK
INVS	random
IQGAP2	HK
IRAK2	IRAK2
ITGAL	ITGAL
KDM2A	KDM2A
KDM2B	KDM2B
KLHDC2	random
KLHL5	random
KPNA1	KPNA1
KTN1	KTN1
LINC01451	HK
LINC01876	HK
LINC02265	HK
LMAN1	random
LPAR6	LPAR6
LRBA	HK
LRPPRC	random
LRRC69	HK
LUC7L3	LUC7L3
LURAP1	HK
MAL2-AS1	HK
MAN1A2	MAN1A2
MAP2K5	random
MAP3K8	MAP3K8
MAP4K4	HK
MAPK8	random
MAPRE2	MAPRE2
MARCKSL1	MARCKSL1
MBP	MBP
MCU	MCU
MDFIC	HK
MECP2	HK
MED23	HK
MEF2C	MEF2C
METTL16	random
MICU2	MICU2
MSH3	MSH3
MTSS1	random
MYCBP2	MYCBP2
N4BP2L2	N4BP2L2
NARS2	random
NCOA1	NCOA1
NCOR1	random
NDFIP1	NDFIP1
NFATC2IP	random
NFXL1	HK
NIBAN1	NIBAN1
NLK	HK
NLRP2	HK
NOP58	random
NPC1	NPC1
NR2C1	random
NR3C2	random
NUCKS1	NUCKS1
NUDT3	NUDT3
ODC1	ODC1
OPA1	random
PARN	HK
PAXBP1	PAXBP1
PCGF5	random
PCNX1	HK
PDS5A	random
PELI1	HK
PHACTR1	HK
PHF20	PHF20
PHTF2	PHTF2
PI4KA	PI4KA
PIAS1	PIAS1
PITPNA	random
PITPNB	PITPNB
PNISR	random
PNPT1	PNPT1
PPARA	random
PRKRIP1	random
PRPF4B	random
PRRC2B	random
PSMA1	PSMA1
PTPRJ	HK
PUM1	random
PUM2	random
QRSL1	random
QSER1	QSER1
RAB3GAP1	random
RABEP1	RABEP1
RANBP2	RANBP2
RB1CC1	RB1CC1
RBM33	random
RBM41	random
RBM47	RBM47
RBM5	RBM5
RDX	random
REPS1	random
REST	random
RIN2	RIN2
RLF	HK
RNF115	random
RNF168	HK
RRM1	random
RRM2	HK
RSAD2	HK
RUSC2	RUSC2
SASS6	HK
SBF2	SBF2
SCAF11	SCAF11
SDC2	HK
SENP1	HK
SENP5	random
SENP6	random
SERPINB2	HK
SETD2	SETD2
SETD5	SETD5
SIGLEC1	HK
SIRT1	SIRT1
SLC16A7	SLC16A7
SLC22A15	HK
SLC30A5	random
SLC30A9	random
SMARCA2	SMARCA2
SMARCE1	HK
SMC5	SMC5
SMC6	HK
SMIM3	SMIM3
SNRNP40	random
SOCS3	SOCS3
SPAG9	SPAG9
SPIDR	HK
SPPL3	SPPL3
SPRED1	HK
SRSF11	SRSF11
SSB	random
STAG3L5P	HK
STAM	random
SUCLG2	random
SVIL	HK
TAB2	random
TAF15	random
TBC1D22A	TBC1D22A
TCERG1	HK
TCF12	random
THBD	HK
THOC1	HK
TIAM1	HK
TLE5	TLE5
TLK1	random
TMEM123	HK
TMEM135	HK
TMEM192	TMEM192
TMEM87A	TMEM87A
TMPO	TMPO
TNFRSF10D	HK
TNKS2	HK
TNRC6A	TNRC6A
TRAPPC10	random
TRAPPC9	random
TRPC4AP	random
TSGA10	HK
TTC17	TTC17
TXNDC16	HK
UBE2E2	UBE2E2
UBE2H	UBE2H
UBE2K	UBE2K
UBE3A	UBE3A
UHMK1	HK
UPF2	random
USP14	random
USP47	random
UTRN	HK
VCAN	HK
VDR	VDR
VRK2	random
VSIG4	HK
VTA1	VTA1
VTI1A	VTI1A
WAC	WAC
WARS1	WARS1
WDR33	WDR33
WDR70	random
XIST	XIST
XPO4	HK
YTHDC2	HK
ZBTB1	HK
ZBTB10	random
ZBTB11	random
ZC3H12C	HK
ZNF131	random
ZNF281	HK
ZNF331	ZNF331
ZNF33A	random
ZNF37A	random
ZNF398	random
ZNF638	ZNF638
ZNF654	random
ZNF843	HK
ZNHIT6	HK
ZRANB2	ZRANB2
